contract_id,shared_address_flag,extracted_companies,extracted_locations
IE_be309cda596edfda243ef05e7b714ad0b6ede41e879940d2f577401964f20ada_1,0,"['Official Journal of the European Union', 'eTenders', 'HFA', 'the Official Journal of the European Union', 'Housing Finance Agency plc.']",[]
IE_71396d4025cbdee0da629e56a91bf26109feda49171519d2e5d3a9dd5f5078e9_1,0,"['eTenders', 'Discover Primary Science']",[]
IE_dbd22e43d9f750985c0c5cd05e0f790d9acd38c801824601dc9dde62c249f9e2_1,0,['IDA Ireland'],[]
IE_eb56448674a7b15b4b2c7cfc7d01b33e719d0557b8aa01d4030251e2610e8c7a_1,0,['eTenders'],[]
IE_688d8eead241b48e562cdae886832bcdd8014584e59586d8f1065ee661a4a860_1,0,['Tuam PPP Scheme'],[]
IE_27c7a7804ad4937a2badb09209ec8c85e19211bf58dd6cfb1e82181810b7cf8c_1,1,"['the Cavan County Development Board', 'eTenders']",['North']
IE_32eef1b253789b2f7fb6c062dd1f7c378bf4feb9a052bc4d6e2f3dea4bee8d9a_1,0,"['Provision of Health, Safety & Environmental Consultancy Services']",[]
IE_a499b3b2db535c326355f526be0194a09f9808f844612a41e51a3200981ad1b4_1,0,['eTenders'],[]
IE_3c44a3217d8b14f58a5726cee69ad639686116b269a26abc63d992cb596061e9_1,0,['eTenders'],[]
IE_f6a448e0cc097989bab71203fc205e1dadcbc3627f741abb6e2930397853fce4_1,1,"['EirGrid', 'eTenders', 'Land and Property Consultancy']",['Ireland']
IE_a3d91df04a764ac0a2f7ad112fdf9b8e94a324106540ee2477657c3eabd1f94d_1,0,['eTenders'],[]
IE_874a40fa45d3a11b7d98f5df378ef59f78205597011580fd89d0a5c4fd9054b7_1,0,[],[]
IE_ba0ac1dc12a1d275091a5f7431b35d47dc39365e979050624d64f4fa3bee2cf2_1,0,[],[]
IE_73b6834d971da9c1e4052e81bf475852091a39e68aac02b9f711c76e939069b5_1,0,['eTenders'],[]
IE_c081ce8d098e763a030df88e3a6d4c52559117af39877f8ba56695e789fd6a05_1,0,[],[]
IE_b387ec8b85184a47a683ee9bde334420023dc53b7dce766f75a285ca044ebd8c_1,0,[],[]
IE_a70d92c831795c02e15f69b05a2045cb7366c3b74016f831b3ab34e2397485a5_1,0,[],[]
IE_2525e2f2eb2dc886c0f103e984e6cb6c289236e4f63b7e0f1b84cb142b552e3c_1,0,[],[]
IE_5e1fa096d5c293f6284ebb5d5a78e4782750dc33f41d913eb30aa680f994a615_1,0,"['eTenders', 'The Department of Finance']",['Tullamore Co Offaly']
IE_c17e2079f30a241c56dfca939f56e5f151885986c03afc5977b98011463da247_1,1,"['eTenders', 'Western Division', 'Cork County Council']","['Timoleague', 'Courtmacsherry Village', 'West Cork']"
IE_1c44d7262f225d6ed49123c505806e5552e58f4446ead1aef79b2f7abfb160b5_1,1,"['the Dublin City Childcare Committee Ltd', 'LCRC', 'eTenders', 'Local Childcare Resource Centres', 'Microsoft', 'Dublin City Childcare', 'Dublin City Council', 'Dublin City Childcare Committee Ltd', 'DCCC']","['HubDublin', 'Dublin City', 'Dublin', 'Dublin CityOne', 'WestDublin']"
IE_04ab491069c83f6f779d81e5715194e264430aa5febc91418cfd23fb5851b039_1,0,['Plant & Equipment'],[]
IE_c035fdabaed36403bc10116cee973322cf90faacaccb55c551aaafe4e2d92b43_1,0,[],[]
IE_2922317b107b824651868443c8a62d1b3e4109e31956aefab20e26f3d81acc44_1,0,['eTenders'],[]
IE_a85547b6b52803bebc358f7b35ed9a6935e13c2de8ae0c3922ceb967fb7a01b4_1,0,"['eTenders', 'RPA']",[]
IE_2febbfd901aca1d39748688b8b399a5df05316db38d446c88d3b4f942ceea5b6_1,0,"['EU', 'eTenders', 'Graphic Design Applications', 'Waterford Institute of Technology']",[]
IE_9ca14b4c5347c5e7c8563c23d01d787f813094a33e0d7443614e10369f65e09d_1,1,"['The FAS Science Challenge Programme', 'eTenders', 'the Science Challenge Programme', 'the Training and Employment Authority', 'FAS', 'Educational Institution', 'FÁS', 'The Overseas Graduate Programme']","['Japan', 'Ireland', 'USA', 'China']"
IE_03264fe68b1511d5309dafadb236f419a30c4cc4524c6092877df536901e1e5a_1,0,[],[]
IE_834b8adb31886dea300907c95600b4b779a438092fb20d6e650a73165ee9eb99_1,1,['eTenders'],['South Dublin County']
IE_1e5bce97f75becd579d1797fbfa77e9d15116cb3f46ff8dee38140d21a553096_1,0,[],[]
IE_6e30607a67b7a6fe1a6e7c8a0012e8ca0281636be8e677a1661e907cf4e799bf_1,0,['eTenders'],[]
IE_dbf2971ddbe5444bdd052221967e5c2275d3a94184bc8a61f5a4dbeb3f77e192_1,0,['eTenders'],[]
IE_8027b3bb8e9f99dd7e4e0bec77008cdaa7faf34390897ccd285dc05655afe115_1,0,[],[]
IE_72686d8b9a11de8c19acde49189daab42ae1ec209df22e3a36af1bd67b572d3a_1,0,[],[]
IE_55f7b670b035cb2357237c71212df750c6454e7da42db0bcd6828158efa53b95_1,1,['eTenders'],"['Co. Galway', 'Oranmore', 'Rinville']"
IE_43063200ca88b38ea9c56e536698dfbe62ab49d325a1e1fbcafb99feff911d04_1,0,['Dublin City Council'],[]
IE_5eb3a70f3b8b950f2f5f6fad0bc1bd3b12b8b0cc3dbf2be0e41783317c0d5d87_1,0,"[""Wicklow County Council's"", 'Record Centre']",[]
IE_1e484d6be8ba151384aaac5f76b29f3833729d09b389b6fcb3476d57e19589ba_1,0,['eTenders'],[]
IE_6b94824faade4ae765e6720d758b36381f1f562502c63076986c04659902c7ba_1,0,[],[]
IE_bb5d41661f6b25c0a0a19bba6ea5559f99c6bfac9419fa5c6edadbc9122f3239_1,0,[],[]
IE_d2d10c395647e2aa415a890b9541ab11ff835646ecf7ff22983f286b0941550f_1,0,['DCU'],[]
IE_7690ec68b1108efddef823c284f6afc08bf80a066e5af8dd90cc9ca4a5745ed6_1,0,['Dublin City Council'],[]
IE_05c01d5454478ba004877749ccac98fc2ee68006d95bfa8b52bf7cc282f9baf1_1,1,['eTenders'],"['Ennis', 'County ClareNOTE']"
IE_2f0e8cfa7fc87ea9dc8781294452ad3a21d4f7cc3f05c4322f912335afb6a97b_1,0,[],[]
IE_da5b92cbaed19a33bc85086fe90576472219a2cc3c1d0caa3f4a9ee8418d2316_1,0,[],[]
IE_fbf3f11a02347c270d055501cd32851f9270de6d6d55aa8956a154bfd7c52feb_1,1,"['An Garda Síochána', 'eTenders']","['Donnybrook', 'Irishtown']"
IE_06766645c47efd3f2bd05ec053e24fa6f55f7d1e21f63563acae790f60de8251_1,0,[],['the Kilrush Marina']
IE_c2fbac1e86419eac457f202179cce247f4b47474ab41c51d9588d5742df2c792_1,0,[],[]
IE_6e485433bb7e2e527c965537e42bb65f67cbd9ec8645afd2627ad89f2e465186_1,0,['eTenders'],[]
IE_db8ab1090126a771a6a914b636d41da432c7cd09c7fabb36c727e233e3e1a01f_1,0,['eTenders'],[]
IE_a33bbcf08a1e8fd8aa5f2318de6d0730e3baf9d08ba1ad6edebead61e10f9be3_1,0,['eTenders'],[]
IE_bc5e6ef813879acc8640060ae2df13fdc280678c3b01ceb5134484895f4f20ec_1,0,"['eTenders', 'Department']",[]
IE_f6cb4cee04ae9ef4913b45767e7a5ce9f3a43577376ff803d97b2a923252029c_1,0,"['The Department of Enterprise, Trade & Employment', 'eTenders']",[]
IE_ef5940f6dc7fb55bbd6bfa2ade86251558d580eb4b8fe6bcf532cc333dc5c7a3_1,1,"['An Garda Síochána', 'eTenders', 'a Gardening Service']",['Irishtown']
IE_b4c3e0d3cb686cfa0cbb26ab2de3970a3aa50655d54e4039aee5890ad0430d73_1,0,['eTenders'],"['Derryginagh', 'Lough Bofinna']"
IE_f35670ffebc5dca29de9a928a0d4167ea96649c3682b43abd1e4bc741531c474_1,1,['eTenders'],['Lower Silly Walk']
IE_16b64b0371dc604e2d041e576c7e2bcab467b8b6406b24e4315f577d249b1c1d_1,1,"['The Institute of Technology', 'Institute Conferring Cermonies', 'eTenders']",['Sligo']
IE_66b35615e113ead44c0b2d66a76b6f869e880273f6bb9b0d6e7bbc07602cdad2_1,0,['eTenders'],[]
IE_89ba99292c23b2fb138ec40fd1c2d7d4ed34389b48d4a8b37e7eefc89a17062d_1,0,[],[]
IE_240548d57cfbbddcb383a4603828ce2c3d662129afe81ab4f1ac01915a1a8b66_1,0,['eTenders'],[]
IE_4b236e509c0b75faeee6525cd10e8f838304393bba99ac8e77d0ca12245942fb_1,0,[],[]
IE_c5d04eb3ac961ce6feace82add3f32601e53621a27033f3cd4cfc9c11276a5b9_1,0,[],[]
IE_1471ab71d5ac2271c457b7a568aa5b71fa92b90efbbcd602fa1b2241f9c31337_1,0,[],[]
IE_f6fe4d08993d79f9b2ca2546d77dd36b54f63268687c19374afb2b0342f556d3_1,1,"['eTenders', 'NRA']",['UK']
IE_241fc376a066773d33dff5fb32f22bc0d3e46bf9b79bd572984fad42c041a920_1,0,[],[]
IE_54f70b72a265f4b10c8f14f5613dac7b6aad042644bfd7bc524e08b1a5eccd9b_1,0,[],[]
IE_1811d57ce7a99b9ca1c438342359ffae7df11f003fb53e8fa6c47301ded43bfa_1,0,['eTenders'],[]
IE_cf1bcf0330df2a7979965d2a2506de1872024ec894c0d102103b7704a0673ec7_1,0,[],[]
IE_837d8dbbb7d3985c19805731e2dd27e422438e08540005528ce362052a235aeb_1,0,['An Garda Síochána'],[]
IE_ec325899b31b5370a3221060744dcb6f81015c7560fcdd8a16615c385cf676f6_1,0,[],[]
IE_4dac2c29924405b75eb1916551262625aeb6d3ff683af2e7311127cfe6a9a675_1,0,[],[]
IE_a310bf0490d0e94a3fbb3b84be7a849654d0aed6f036be77a28c7159e30b3b85_1,0,['Dublin Dental Hospital'],[]
IE_27d06d0b220ff6daa6c62db682be835b1624856ac16170405271a49f9a143163_1,0,[],[]
IE_89a359fc99149bc62fd66cc0fd489ad75d7b4dde23562c38b034cbe6d378af89_1,0,[],[]
IE_3f50b88eb2e1af1c1dc5cf0efccbcb3960311bbb7aa7e262fbbda25361b58bb5_1,0,[],[]
IE_ffff947db95796af4287b88c5ace9b513abc8affd9812084228d29d47e4b002b_1,0,[],[]
IE_6df0257e959e45a4124beafb0e5969092efa2e034b7df771437ed7566e8556b5_1,0,[],[]
IE_7b931d0b9cdaf64cddb71b239d3a0b0a0f0ff0ca4a14640af40b6d7159204a11_1,0,['NIBRT'],[]
IE_9d6730d504d0e91ccb7cf0bb977566a42d630972699edd3eabcbc17edce24c2e_1,0,['eTenders'],[]
IE_c2d59a594e2ed8ce78cced2490d69fb0aaa307e832c474aebe0af16e70f8d34c_1,0,['eTenders'],[]
IE_9fd4d2c0a9b05a17c63788a7d7e5afa1a6573b91e656026a8b22475e5393173b_1,0,['eTenders'],[]
IE_d70c53984044472e1d2aa078be6475c38252dc552fda261bece3024a70b1c8fc_1,0,[],[]
IE_2dcc53d713801c23ca030a0a8efcb41059add54ce259323ed95dc8c4a9dfdc73_1,1,"['Galway City Council', 'eTenders', 'The Corrib River Crossing Feasibility Study']","['the River Corrib', 'Galway City']"
IE_3d484605edcd8de030ead1d88f5fa74015fe6d93429a19afa46baf07db899c34_1,1,"['Marine Institute', 'eTenders', 'The Marine Institute', 'the Marine Institute']",['Galway']
