contract_id,title,buyer_name,single_bid,winner_concentration,copy_paste_description,target_suspicious,short_tender_period,predicted_label,predicted_probability
EU_8edcd39cae138701d73718dfe181c4e25743e73bce3b2b088ec6f660e16e1e52_1,Framework Agreement for the supply of prefabricated Public toilets,Cork County Council,,0,0,0,1.0,1,0.9997111242302352
EU_7331d68cdd0c12dc893b0f0d6b1e6c88148198e57fee25f048331c6f9367e173_1,HSE 2779/14 — Tender for Oncology Information System.,Health Service Executive (HSE),,0,0,0,1.0,1,0.9980862922910033
EU_6ae4110a43e030988a847c71c3feac1e13667cf2fdf8845b3facaf13527f19b4_1,Framework for Consultant Engineers.,Cork County Council,,0,0,0,1.0,1,0.9965345976243843
EU_54df9b7ce56956553cd0dd8e64161547ebedf42e66ece8a67c31db7c83bc9d3e_1,National Audiology Products (Hearing Aids),Health Service Executive (HSE),,0,0,0,1.0,1,0.9932358961236931
EU_021bdaaa58760784afb73a38bbe1fc7f79a41989240c56a0ca3407a54810d783_1,"Sale and Lease Back of Primary Care Centre Development at Ballyboden, Dublin 16",Health Service Executive (HSE),,0,0,0,1.0,1,0.9931117285937595
EU_c74ca5692ceb1e17b30ed2c5b4c47db50a978bf6bb27ef97892176011ef3f4dc_1,Open Tender For Operating Microscopes.,Health Service Executive (HSE),,0,0,0,1.0,1,0.9917600382938994
EU_4f30950947f939c26a92e4f422c596aea7d91778988a725e835e0dbb6cd2298f_1,Market Sounding — National Framework for Home Support Services for Older People,Health Service Executive (HSE),,0,0,0,1.0,1,0.9913339521576987
EU_fe195997f36acff0a6c5e62ec19743b43589229d481dd69d4780ce5387366c1e_1,Request for Tenders to establish a Multi Supplier Framework Agreement for the provision of Public Infrastructure as a Service (IaaS) Solutions and Associated Services - ISW025F,The Office of Government Procurement,,0,0,0,1.0,1,0.9909754357086724
EU_cf11f4e663bf00abd960ca53410849896096bea50225b176b8658b919beaefa9_1,Cork County Council contract for swimming pool operation and management.,Cork County Council,,0,0,0,1.0,1,0.9900224876048416
EU_71895aea69ecbf6f9dcd7bf6e0ccbf84a57234e6e842a89b15c3ef651919a273_1,Request to participate for the provision of healthcare risk waste services acute.,Health Service Executive (HSE),,0,0,0,1.0,1,0.9889966923780581
EU_b1dde2e9702601b17047fa1f2c0bf59bfac828c76284b111642851a951d96acc_1,Tender for Electro-Surgical Equipment and Associated Consumables.,Health Service Executive (HSE),,0,0,0,1.0,1,0.9880535772099772
EU_075aeb55e021948cd15da5d270d65f0dce971c9396e0eac33448103623c55749_1,The Supply and Installation of Carpet Tiles,Office of Public Works (OPW),,0,0,0,1.0,1,0.9864001915871956
EU_6eaba21f0cfca4a3791ade6d510d0dbbdabbc0702a3ef659f7010fe17ed9ac26_1,Multi Supplier Framework Agreement for the provision of an End-to-End Managed Service of Stand-Alone COVID -19 Swabbing Services at pre-designated test site/s,Health Service Executive (HSE),,0,0,0,1.0,1,0.9846446343823652
EU_c764ec31949f483d705a52f2042c85e037c17a07e683ec489598bd54a9b7aeb1_1,Non Emergency Service User Transport Primary Care CHO7,Health Service Executive (HSE),,0,0,0,1.0,1,0.9846157687713776
EU_9dd82b5d288809646ee6c4844e42cc0a95feb08e6214370ca5ad3b90edac4d3f_1,Construction of new 80 Bed Community Nursing Unit at Sheil Hospital Ballyshannon,Health Service Executive (HSE),,0,0,0,1.0,1,0.9825609091896136
EU_7b684593a67f61f9697fe754eb93b3ddbf3a51b0083282228204ccc03cd4fc06_1,Multi-Party Framework Agreement for the Provision of Digital Services for HSE Communications,Health Service Executive (HSE),,0,0,0,1.0,1,0.9819757070486184
EU_c98abf2f9708315b64834d49c6e5f35b1ddecfcc823362bb8587e699aa4cb2c2_1,Cell Salvage System and Associated Consumables.,Health Service Executive (HSE),,0,0,0,1.0,1,0.9805402786902089
EU_27a67581752180f7de748a80785ab854fa0172bee2fe353d1673529ae9da81fd_1,Tender for National Audiology Products – Ear moulds,Health Service Executive (HSE),,0,0,0,1.0,1,0.9802691035808531
EU_928a3b442f0dc275a717918b71d2f5af6eb86d99ccfbb73711b48bd1ee02dd83_1,Tender for the provision of Enhanced Homecare Services.,Health Service Executive (HSE),,0,0,0,1.0,1,0.9795792276057769
EU_f9373642d663d08ed6741931329163a072d6b1e68b7fe2c145436ac00933851f_1,Out Patient Registration System for HSE.,Health Service Executive (HSE),,0,0,0,1.0,1,0.9788902782759407
EU_9f74158b7e2b5530d3bccf701eb2772ec71e2ed33ffd5d8b5141908b7f851ed6_1,5Nr. National Frameworks (Multiple Operator) for Design Team Services 2018.,Health Service Executive (HSE),,0,0,0,1.0,1,0.9756482331350742
EU_5cbdb89ef2adead8bb240e126567035ea4120d32fcea5ac85f50013f097ee873_1,"Ref: 2391 — Single-Party Framework Agreement for the Supply, Delivery and Installation of a Mass Spectrometer.",Beaumont Hospital,,0,0,0,1.0,1,0.9743111030046041
EU_9598f87364f5de2337a2abeed3023e02726e60795a8d4b17b928cabddea86e27_1,Tender for the establishment of a National Framework Agreement for the provision of Anaesthetic and Critical Care Consumables.,Health Service Executive (HSE),,0,0,0,1.0,1,0.9731643206360175
EU_e7b7f8a88ae43a0c5ee99844074e08a08d5748dcef0e4db151b264aed9d4bda8_1,"Supply, Delivery & Installation of Lot 1 Four Fold Parallel Bioreactor System, Lot 2 Bioreactor Auto Sampler System, and Lot 3 Bench-Scale Microfiltration and Chromatography Control System",Dublin City University (DCU),,0,0,0,1.0,1,0.9714790999176734
EU_e58ccbc424df5e24834df744de82a396bee9ec5e372ad4712691360cf6b9f22b_1,Request for Applicants to Participate in the Establishment of a Panel for the Provision of Land Sourcing and Establishment Services from 2023 - 2033,Coillte CGA,,0,0,0,1.0,1,0.9711199929789353
